               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.020398,           0.0090315,                   0,             0.95341,             0.97448,             0.98932,              0.7496,            0.010632,           0.0026255,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.016096,           0.0083739,                   0,             0.95344,             0.97523,             0.98278,             0.73654,            0.011829,           0.0026885,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.019828,           0.0087561,                   0,             0.95343,             0.97485,             0.97266,             0.77193,            0.011623,           0.0026273,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.019687,           0.0078299,                   0,             0.95073,             0.95238,             0.97298,             0.74872,            0.013176,           0.0026778,                   0,            0.003334,            0.003334,            0.003334
                 103,             0.01951,           0.0085391,                   0,             0.94826,             0.95238,             0.95941,             0.72184,            0.013303,           0.0028678,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.015864,           0.0077849,                   0,             0.95069,             0.95238,             0.96747,             0.74049,            0.012652,           0.0026776,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.016041,            0.008203,                   0,             0.95107,             0.95238,             0.96527,             0.76234,            0.011738,           0.0025844,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.022771,           0.0089072,                   0,              0.9507,             0.95238,             0.96647,             0.76809,            0.011123,           0.0026516,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.018065,           0.0081242,                   0,             0.95135,             0.95238,             0.96562,             0.74937,            0.011102,           0.0026264,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.018618,           0.0079958,                   0,             0.95185,             0.95238,             0.96336,             0.74634,            0.010719,           0.0025938,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.018053,           0.0082712,                   0,             0.95237,             0.95206,             0.96676,              0.7614,             0.01183,           0.0026591,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.015629,           0.0082567,                   0,             0.95335,             0.97325,             0.97221,             0.76445,            0.012235,           0.0026183,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.019905,           0.0078181,                   0,             0.95237,              0.9522,             0.95472,             0.72925,            0.013325,           0.0027015,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.015052,           0.0082972,                   0,             0.95228,             0.95034,              0.9553,             0.73856,            0.013016,           0.0027756,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.017007,           0.0078073,                   0,              0.9517,             0.95238,             0.95989,             0.73912,            0.012882,           0.0025955,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.014821,           0.0083494,                   0,             0.95136,             0.95238,             0.96947,             0.76102,            0.012386,           0.0026754,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.017288,           0.0080998,                   0,             0.95234,             0.95159,             0.97016,             0.75521,            0.012007,           0.0028664,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.020089,           0.0079451,                   0,             0.95236,             0.95205,             0.96947,             0.74366,            0.011797,            0.002865,                   0,             0.00241,             0.00241,             0.00241
